dataset,min value,max value,mean values,stdev,gap,mean time
instance_0001,13.0,15.0,14.933333333333334,0.3651483716701107,0.44444444444444287,1.7299025724000003
instance_0002,2.0,2.0,2.0,0.0,0.0,0.4307506331666668
instance_0003,9.454545454545455,12.0,10.625839345839346,0.7032028392831806,11.451338784672119,1.9684418818333318
instance_0004,1.9047619047619047,2.857142857142857,2.6290335807982865,0.2337830190201652,24.88475483433467,1.2223855620000033
instance_0005,154.28,160.9,157.99232054076106,1.6383144801827314,11.180390971013571,22.9135507574
instance_0006,530.5,691.0,630.25,45.51680145352249,8.791606367583213,63.68788553870004
instance_0007,349.25,392.25,377.02666666666664,12.033242270486783,3.881028255789256,49.41439008079992
instance_0008,150.61111111111111,162.94117647058823,160.26541394335513,3.0466653963866124,1.6414545579016018,17.743629876999936
instance_0009,2.74,3.1627906976744184,2.930459862242828,0.11537525577874914,33.7000031166781,4.29895806200002
instance_0010,14.40495867768595,15.298245614035087,14.876406360365554,0.24166648052380643,13.054317005461403,17.14032175783341
instance_0011,12.51006711409396,13.25,12.968727973843137,0.17296028395414242,23.03425534811195,14.297698752766548
instance_0012,3.4583333333333335,4.685714285714286,4.028950567621447,0.3004231193838542,64.18710606558714,5.069177657333209
instance_0013,66.53703703703704,76.4,71.05280207116809,2.261450714353367,39.46770994107336,57.427660521066535
instance_0014,102.6590909090909,113.80555555555556,107.5716108196132,2.7951100147331895,40.777576073765026,107.7057135228004
instance_0015,68.67441860465117,76.22857142857143,72.05709282466258,2.0681709206809256,51.74640539431958,49.83442738773362
instance_0016,82.5,85.0,84.75,0.7628214415734117,0.29411764705882354,5.796166408633386
instance_0017,35.0,36.5,36.45,0.27386127875258304,0.13698630136985523,2.739928677433515
instance_0018,115.6,117.2,117.14666666666668,0.29211869733609014,0.04550625711034766,13.324936635600109
instance_0019,202.0,202.0,202.0,0.0,0.0,11.897397944166853
instance_0020,5.0,5.0,5.0,0.0,0.0,0.09786260009999144
