dataset,min value,max value,mean values,stdev,gap,mean time
instance_0001,15.0,15.0,15.0,0.0,0.0,1.6857757536666662
instance_0002,2.0,2.0,2.0,0.0,0.0,0.41117701413333235
instance_0003,8.3,12.0,10.575026455026455,0.991774489559494,11.874779541446209,2.021295261033333
instance_0004,1.8181818181818181,2.857142857142857,2.5846476562653034,0.24051020447160096,26.15292410670562,1.2342125806333342
instance_0005,153.75,160.65,158.4212175156397,1.6318523392333022,10.939275064290694,22.865549981966655
instance_0006,568.5,691.0,663.95,30.39973627381069,3.9146164978292264,61.4779984605
instance_0007,362.75,392.25,382.8,9.0797235260962,2.4091778202676837,46.249906740566665
instance_0008,155.05555555555554,162.94117647058823,159.71164215686275,2.733387724984364,1.9813169529503167,17.33840491690001
instance_0009,2.75,3.425,3.0638266667870715,0.16258157300314482,30.682654597577567,4.214771718766709
instance_0010,14.82905982905983,15.31858407079646,15.08423093713685,0.14294811241853703,11.839678917961132,16.851309125533376
instance_0011,12.964539007092199,13.605839416058394,13.28214596815184,0.18981202342095382,21.17420790414339,13.981566637066559
instance_0012,3.6122448979591835,5.066666666666666,4.28267241046468,0.35666607182434795,61.931800795869506,4.970208839233359
instance_0013,71.95,80.41666666666667,75.77450520732046,2.070136922119264,35.44513102119572,54.345283284999915
instance_0014,110.11111111111111,123.34375,115.26835407531833,3.106978174074114,36.54021466895049,105.76259002809996
instance_0015,70.52380952380952,79.92857142857143,76.21609353782499,2.146402372030455,48.96129810632493,48.18559183223327
instance_0016,82.0,85.0,84.56666666666666,0.9890201815636676,0.5098039215686319,5.719822128133576
instance_0017,35.0,36.5,36.4,0.38056219755369364,0.2739726027397299,2.7174725749332236
instance_0018,115.4,117.2,117.06666666666666,0.4404804064947134,0.11376564277588734,13.12635667313322
instance_0019,179.0,202.0,199.7,7.017957262475387,1.1386138613861443,11.57196330976664
instance_0020,5.0,5.0,5.0,0.0,0.0,0.09610038543311626
