dataset,min value,max value,mean values,stdev,gap,mean time
instance_0001,15.0,15.0,15.0,0.0,0.0,3.1683434407333455
instance_0002,2.0,2.0,2.0,0.0,0.0,0.4597924155665775
instance_0003,10.25,12.0,11.335119047619047,0.5775811995107748,5.540674603174608,2.976224163733453
instance_0004,2.5384615384615383,3.5,2.9699063899063898,0.3782949112045402,15.145531716960292,1.3423280233333874
instance_0005,155.42857142857142,177.875,160.46698132298246,5.838977595428353,9.789194219146353,108.04417991683319
instance_0006,691.0,691.0,691.0,0.0,0.0,368.76466943430023
instance_0007,388.5,392.25,390.80833333333334,1.2171251694714555,0.367537709793923,276.95486346986644
instance_0008,155.26666666666668,161.33333333333334,158.12511982570805,1.641374535954367,2.9550019481354752,84.01981180786727
instance_0009,3.325,3.9565217391304346,3.6135403293847275,0.15326345492542198,18.245693905322906,4.147627290799937
instance_0010,15.917431192660551,16.485148514851485,16.212820106990762,0.13959783576890208,5.243599608470121,63.23337212270029
instance_0011,13.757575757575758,14.472440944881889,14.1182406643716,0.15329769204631857,16.21222157642968,48.613952655365814
instance_0012,7.6,11.25,9.35047619047619,0.6420655589824401,16.88465608465609,4.845494919799724
instance_0013,110.5,116.3076923076923,112.20311355311355,0.9415946982399931,4.410365008422596,267.72019735136683
instance_0014,171.91666666666666,180.72727272727272,176.57626262626263,2.5520754482682055,2.787787587391188,542.1875406452671
instance_0015,146.66666666666666,149.33333333333334,148.7111111111111,0.8742082716213239,0.4144437747866496,215.15917113436734
instance_0016,85.0,85.0,85.0,0.0,0.0,27.307035085234382
instance_0017,36.5,36.5,36.5,0.0,0.0,10.195371138465513
instance_0018,115.4,117.2,116.78,0.6461557408081375,0.35836177474402875,66.0351962222674
instance_0019,202.0,202.0,202.0,0.0,0.0,57.06546992776518
instance_0020,5.0,5.0,5.0,0.0,0.0,0.24927082286643173
